Date,Username,User tag,Content,Mentions,link
"2022-11-02,17:35:03","normal name","#8766","Its incredibly bad, any free time i hoped to have was devoured by 402","",""
"2022-11-02,17:41:40","beepbop","#9164","Oof yea no bueno","",""
"2022-11-02,17:58:13","Capybap","#2340","Man i wish all of my classes that i need to take could just line up nicely 🥲","",""
"2022-11-02,18:04:16","EmberToInferno","#0606","the 402 prof i had at tc fled to azerbaijan or something a month after the semester started","",""
"2022-11-02,18:04:27","EmberToInferno","#0606","easy class 4 me","",""
"2022-11-02,18:07:04","Capybap","#2340","Do you know why?","",""
"2022-11-02,18:09:30","EmberToInferno","#0606","he did not actually flee to azerbaijan that is just the running joke i came up with he sent out canvas msgs every day of class that there was no class starting early february (like 3 weeks into the sem) this is the only msg that actually had any content that hinted to what the fuck happened from what it sounded like it was like some insane mental shit or sm","","https://cdn.discordapp.com/attachments/720774832870129774/1037533951616626739/unknown.png"
"2022-11-02,18:09:51","EmberToInferno","#0606","never was able to actually find out what the fuck happened","",""
"2022-11-02,18:10:30","EmberToInferno","#0606","he isnt listed for any classes anymore either so i have no idea what happened","",""
"2022-11-02,19:37:09","Jared","#5937","402 is the class i am not looking forward to","",""
"2022-11-02,19:37:23","Jared","#5937","at least it's my last gen ed i think","",""
"2022-11-02,19:39:04","Jared","#5937","oh nvm i still need a comm and humanities","",""
"2022-11-02,19:41:38","normal name","#8766","As long as you choose a good prof, its extremely easy","",""
"2022-11-02,19:42:00","normal name","#8766","If not, you get way more workload than the class is worth","",""
"2022-11-02,19:44:13","Jared","#5937","I just hate writing essays lol","",""
"2022-11-02,19:44:29","Jared","#5937","2 hours to write 5 sentences","",""
"2022-11-02,19:44:51","normal name","#8766","then you ***really*** want to make sure you choose the right class lol","",""
"2022-11-02,19:45:53","normal name","#8766","Ive had to write 10 400 word discussion questions, and thats just the side assignment each week","",""
"2022-11-02,19:46:03","normal name","#8766","granted they arent that bad, but still","",""
"2022-11-02,19:55:36","Jared","#5937","goddamn","",""
"2022-11-02,19:56:16","Jared","#5937","250 is already too much for me <:stressedpepe:735028916674101289>","",""
"2022-11-02,21:27:08","Poedameron805","#0114","I don’t think I have to take 402? Because of honors college?","",""
"2022-11-02,21:29:30","Kacey","#5683","<@555200107545493516>","Poedameron805#0114、normal name#8766",""
"2022-11-02,21:29:43","normal name","#8766","uhh I think you still do","",""
"2022-11-02,21:30:56","normal name","#8766","you dont have to take normal english courses but 402 is an engineering required one I think","",""
"2022-11-02,21:31:14","Kacey","#5683","Something to do with your Writing in the Major graduation requirement","",""
"2022-11-02,21:31:49","BlueKodiak","#6128","Bennett is really good for 402","",""
"2022-11-02,21:31:59","Kacey","#5683","Dr. B is a motherfuckin g","",""
"2022-11-02,21:32:03","Poedameron805","#0114","Yeah but my advisor thought that honors courses covered that","",""
"2022-11-02,21:32:14","normal name","#8766","your advisor is wrong, or my advisor is wrong","",""
"2022-11-02,21:32:17","Kacey","#5683","literally went sobbing into her office on Monday and she gave me a hug and candy and an extension on deadlines","",""
"2022-11-02,21:32:18","normal name","#8766","or we have the same advisor","",""
"2022-11-02,21:32:27","BlueKodiak","#6128","She's very helpful","",""
"2022-11-02,21:32:33","normal name","#8766","what do you even have due in that class <@106542160102322176>","Kacey#5683",""
"2022-11-02,21:32:41","Kacey","#5683","schrödinger's advisor","normal name#8766",""
"2022-11-02,21:32:52","Poedameron805","#0114","Mine is Alicia Case","normal name#8766",""
"2022-11-02,21:32:59","normal name","#8766","oh yeah diff advisors","",""
"2022-11-02,21:33:05","normal name","#8766","kellie murphy","",""
"2022-11-02,21:33:07","Kacey","#5683","cover leter, resume, trouble shooting infographic, and a research paper on our own research","normal name#8766",""
"2022-11-02,21:33:10","Kacey","#5683","FUCK i forgot to post data","",""
"2022-11-02,21:33:17","Kacey","#5683","sorry josh ill post two tonight, one for yesterday and one for today","",""
"2022-11-02,21:33:41","BlueKodiak","#6128","Lol it's cool I can just manipulate the dates","",""
"2022-11-02,21:33:44","Kacey","#5683","i rly need to set a reminder on my phone","",""
"2022-11-02,21:33:59","BlueKodiak","#6128","You're good, I think only 2 people submitted yesterday's last I checked","",""
"2022-11-02,21:34:59","normal name","#8766","ah you have to do a research paper too? do you have to do your own actual research as well (like sending out a survey or observing things?)","",""
"2022-11-02,21:39:11","Kacey","#5683","yeah we are analyzing how depressed we all are","normal name#8766",""
"2022-11-02,21:39:34","normal name","#8766","fun","",""
"2022-11-02,21:39:42","normal name","#8766","my group is analyzing psychedelics","",""
"2022-11-02,21:39:51","(ed)ibilities","#4334","I’ve been told that I can take English 403 since I’m a non-native English speaker. Idk if it’ll easier or harder","",""
"2022-11-02,21:42:45","normal name","#8766","<@106542160102322176> btw if I wanted to send a survey here, how would I do so? I forgot what the rules on that were","Kacey#5683",""
"2022-11-02,21:42:51","normal name","#8766","self-promo right?","",""
"2022-11-02,21:43:18","Kacey","#5683","yus","",""
"2022-11-02,21:45:49","beepbop","#9164","My group only has 5/15 replies so far in our survey, I might have to do the same  lol","",""
"2022-11-02,22:17:18","EmberToInferno","#0606","thank you for accenting the o","",""
"2022-11-02,22:23:47","Capybap","#2340","Ö Surprised face","",""
"2022-11-02,22:28:37","EmberToInferno","#0606","bödvar got a pizza call it pizza hyut","",""
"2022-11-02,22:28:59","beepbop","#9164","pizza hut is lit","",""
"2022-11-02,22:29:26","DMWL","#6271","Pizza Hut Classic Pan >>>>>> Whatever Domino's best pizza is","",""
"2022-11-02,22:30:13","Bassettt","#5590","I hate Pizza Hut ngl","",""
"2022-11-02,22:30:15","beepbop","#9164","I havnt tried the pan but I need to","",""
"2022-11-02,22:30:20","Bassettt","#5590","Never had a good pizza there","",""
"2022-11-02,22:30:25","beepbop","#9164","<:sad_orange:788566421067137085>","Bassettt#5590",""
"2022-11-02,22:30:33","beepbop","#9164","That's wild","Bassettt#5590",""
"2022-11-02,22:30:33","DMWL","#6271","Classic pan is the way to go","",""
"2022-11-02,22:30:37","EmberToInferno","#0606","pizza mid","",""
"2022-11-02,22:30:40","EmberToInferno","#0606","domidnos","",""
"2022-11-02,22:30:41","DMWL","#6271","Tbf, I grew up with PH","",""
"2022-11-02,22:30:44","DMWL","#6271","<:DarkSmug:846563906238939166>","",""
"2022-11-02,22:30:45","beepbop","#9164","I like dominos too","",""
"2022-11-02,22:31:04","beepbop","#9164","same","DMWL#6271",""
"2022-11-02,22:32:12","DMWL","#6271","","","https://cdn.discordapp.com/attachments/720774832870129774/1037600063452622988/hyohs674nw511.jpg"
"2022-11-02,22:32:23","Kacey","#5683","very proud of myself","EmberToInferno#0606",""
"2022-11-02,22:32:29","Kacey","#5683","same","Bassettt#5590",""
"2022-11-02,22:32:52","Kacey","#5683","Real giga chads know Papa Murphy's is where its AT","",""
"2022-11-02,22:32:59","EmberToInferno","#0606","papa murphy thai chciken pizza","",""
"2022-11-02,22:33:05","normal name","#8766","true, papa murphy's is pretty damn good","",""
"2022-11-02,22:33:08","beepbop","#9164","Damn that sounds good","",""
"2022-11-02,22:33:16","EmberToInferno","#0606","and the stuffed chicken one","",""
"2022-11-02,22:33:22","DMWL","#6271","Best consistent pizza here in Pullman was Porchlight but now theyre fucking up my orders","",""
"2022-11-02,22:33:32","EmberToInferno","#0606","sellas is heat asl","",""
"2022-11-02,22:33:35","DMWL","#6271","Or just not as great tasging","",""
"2022-11-02,22:33:59","Capybap","#2340","I worked at papa murphys for over a year, i was a supervisor 😎","",""
"2022-11-02,22:34:24","beepbop","#9164","Fun heh I delivered at dominos","",""
"2022-11-02,22:34:28","EmberToInferno","#0606","u can buy papa murphys w ebt","",""
"2022-11-02,22:34:40","Capybap","#2340","Yup yup","",""
"2022-11-02,22:34:40","DMWL","#6271","How was it?","beepbop#9164",""
"2022-11-02,22:35:20","beepbop","#9164","depends on your area but pretty decent depending on your shift times n shizz. Only downside is toll it takes on your car","DMWL#6271",""
"2022-11-02,22:39:30","Rockergage","#5879","Papa Murphy’s stuffed pizzas are like 12$ on tuesdays highly recommend.","",""
"2022-11-02,22:39:41","EmberToInferno","#0606","is there even one here","",""
"2022-11-02,22:40:03","beepbop","#9164","Love stuffed crust","",""
"2022-11-02,22:40:31","EmberToInferno","#0606","there is one here","",""
"2022-11-02,22:40:32","EmberToInferno","#0606","aite might cop","",""
"2022-11-02,22:41:32","beepbop","#9164","noice","",""
"2022-11-02,22:41:54","Bassettt","#5590","It’s so far from my apartment 😔","",""
"2022-11-02,22:44:54","Capybap","#2340","Stuffed pizzas are really filling too","",""
"2022-11-02,22:48:03","beepbop","#9164","so cheeesy","",""
"2022-11-02,22:52:52","Capybap","#2340","No It's like a calzone, not stuffed crust","",""
"2022-11-02,22:53:03","beepbop","#9164","Ohhhh","",""
"2022-11-02,22:53:22","Capybap","#2340","This reminds me of work 💀 I had to explain it so many times Which makes sense bc it's a misslesding name","",""
"2022-11-02,22:53:54","beepbop","#9164","That looks interesting asf I need to try it lol","",""
"2022-11-02,22:57:10","Capybap","#2340","Make sure you bake at 350","",""
"2022-11-02,22:57:12","Capybap","#2340","Not 425","",""
"2022-11-02,22:57:36","beepbop","#9164","<:studypepe:885628208073015306>","",""
"2022-11-02,23:14:13","CyanideCarrot","#3879","that's fake pizza then","",""
"2022-11-02,23:14:26","CyanideCarrot","#3879","real pizza is always baked at 425 or higher","",""
"2022-11-02,23:14:29","Kacey","#5683","but","",""
"2022-11-02,23:14:29","Kacey","#5683","but","",""
"2022-11-02,23:14:33","Kacey","#5683","i thought it was love at 425 degrees","",""
"2022-11-02,23:15:30","CyanideCarrot","#3879","heck when i worked at mod we baked our pizzas at 560 because we were extra like that. it is a sin to bake pizzas below 425","",""
"2022-11-02,23:26:10","beepbop","#9164","stuffed pizzas lookin thicc asf , they probably need more time at a lower temp","",""
"2022-11-02,23:41:54","LJ","#9206","my teams class is actually a lot more technical than I thought","",""
"2022-11-02,23:42:02","LJ","#9206","I think I might *actually* learn something from it","",""
"2022-11-02,23:42:05","LJ","#9206","*wow*","",""
"2022-11-03,02:52:10","Dogger","#5605","Real question does the library have tea","",""
"2022-11-03,02:55:44","squg tomato","#5955","why would the library have tea","",""
"2022-11-03,03:09:09","Dogger","#5605","I brought a hot water heater and milk to make tea and forgot the tea","",""
"2022-11-03,12:50:50","Kantaria","#3272","Has anyone taken either Biology 401, 408, 473, or 483 and have insight on how its like?","",""
"2022-11-03,17:32:45","Capybap","#2340","I kind of want to do smthn nice during dead week like handing out smthn or have an encouraging sign The only problem is that I'll probably be wanting to study too 💀","",""
"2022-11-05,12:56:20","Endeavour-1","#4390","Go to the grocery outlet and buy a bunch of .89 cents bang energy drinks, and hand them out to people studying. Your karma will go through the roof","Capybap#2340",""
"2022-11-05,12:58:18","Capybap","#2340","Hmmm good idea","",""
"2022-11-05,12:58:52","LJ","#9206","<@983565173296074802> just thought of a project i could do to learn skills with SQL and visualizations tools like tableau","(ed)ibilities#4334",""
"2022-11-05,12:59:14","LJ","#9206","I'm gonna call it the ""Costco Project"" and I'm going to compare the cost (and unit cost) of costco products versus products of like walmart","",""
"2022-11-05,12:59:24","LJ","#9206","and see how much someone ""saves"" if they buy the membership of costco","",""
"2022-11-05,12:59:38","LJ","#9206","so two main data sets, costco product costs and walmart costs","",""
"2022-11-05,12:59:46","LJ","#9206","query the data with SQL and then visualize the results. I would also synthesize the data from the set to create new data such as unit cost and display both the flat cost and the unit cost. this is due to costco selling more in bulk. I would probably have to pick and choose specific products such as house brands versus house brands. so kirkland versus great value. or I can see if there is one brand sold at both locations","",""
"2022-11-05,12:59:52","LJ","#9206","host it online somehow","",""
"2022-11-05,13:00:12","LJ","#9206","think it might be a fun project but also practical because my roommate and I shop at walmart AND costco and I'm curious if our membership *actually* saves us money","",""
"2022-11-05,13:00:19","LJ","#9206","i'm sure I can google that answer but I want to find out myself","",""
"2022-11-05,13:00:27","LJ","#9206","*I literally thought of this in the shower*","",""
"2022-11-05,13:17:43","Rockergage","#5879","Karma resets if you lower it enough you just need to say you accept Jesus and boom, you’re saved.","Capybap#2340",""
"2022-11-05,15:08:15","Endeavour-1","#4390","Make a git repository, add me on GitHub, start developing and post issues you have","LJ#9206",""
"2022-11-05,16:17:16","umeshu2002","#3132","Has anyone taken PSYCH 321?","",""
"2022-11-05,16:17:49","umeshu2002","#3132","if so how was the class? is it hard? I am thinking of taking this class next semester. so i would appreciate your input on this class!","",""
"2022-11-05,16:26:00","jacob_m","#5285","<@175873762909093888>","CyanideCarrot#3879",""
"2022-11-05,16:27:02","CyanideCarrot","#3879","i took it online and we rarely met for class so your experience may be vastly different from mine","",""
"2022-11-05,22:33:33","TheSoupWizard","#7750","hey does anyone know where you can find your major's required classes? cant find the page","",""
"2022-11-05,22:37:56","normal name","#8766","what major are you looking for","",""
"2022-11-05,22:39:14","Capybap","#2340","I just look up ""my major, wsu"" and then press the link that pops up, it has worked for most things so far","",""
"2022-11-05,22:40:19","jacob_m","#5285","My wsu -> academic advising -> academic progress.  Gives a very nice detail report of what required and and what requirements you have fullfiled for your major","TheSoupWizard#7750",""
"2022-11-05,22:41:07","TheSoupWizard","#7750","oh thats so useful, thanks a lot","jacob_m#5285",""
"2022-11-05,23:06:28","CyanideCarrot","#3879","https://catalog.wsu.edu/Pullman/Academics","",""
"2022-11-05,23:07:20","CyanideCarrot","#3879","^ go here and click full unit information at the bottom of your major's page. it's the same info but on a slightly newer looking and easier to read website","",""
"2022-11-05,23:09:04","CyanideCarrot","#3879","your department might also have a better way to organize things","",""
"2022-11-05,23:44:26","Bassettt","#5590","Completely off topic but I love your pfp lmao","TheSoupWizard#7750",""
"2022-11-05,23:45:18","TheSoupWizard","#7750","thank you i just set it today, mission success","Bassettt#5590",""
"2022-11-06,09:13:19","LJ","#9206","https://youtu.be/lBNRerV14Og","",""
"2022-11-06,12:31:59","Poedameron805","#0114","EZ mode lads. Got every single question right on the second Chem exam.","",""
"2022-11-06,12:32:06","Poedameron805","#0114","That was supposed to be the hardest one?","",""
"2022-11-06,13:38:17","Hydro Homie","#1547","Yes, you’re just a genius","",""
"2022-11-06,14:02:30","LJ","#9206","https://tenor.com/view/sheesh-sheesh-meme-gif-23678188","",""
"2022-11-06,14:52:25","LJ","#9206","","","https://cdn.discordapp.com/attachments/720774832870129774/1038949006044319785/IMG_4128.jpg"
"2022-11-06,14:52:32","LJ","#9206","Workday doesn’t consider daylight savings time","",""
"2022-11-06,14:52:38","LJ","#9206","The system is an hour ahead","",""
"2022-11-06,14:52:54","DMWL","#6271","They implemented the law early","",""
"2022-11-06,14:53:05","LJ","#9206","??","",""
"2022-11-06,14:53:26","DMWL","#6271","At least I think they did","",""
"2022-11-06,14:54:05","LJ","#9206","I think regardless, if the rest of world moved ahead an hour and workday didn’t that’s a problem","",""
"2022-11-06,14:54:45","LJ","#9206","It’s just one of those common issues in databases and enterprise systems that we’re taught in our MIS classes","",""
"2022-11-06,14:54:59","LJ","#9206","It’s along the lines of a database accepting entries in multiple languages","",""
"2022-11-06,14:55:16","LJ","#9206","A database might read something wrong if the input was in Spanish for example","",""
"2022-11-06,14:56:30","jacob_m","#5285","One of the better Computerphile videos https://youtu.be/-5wpm-gesOY","",""
"2022-11-06,14:56:42","LJ","#9206","It’s not a big deal for me inputting my hours but like I’m assuming workday has automated systems which are now operating an hour early <:6683_PK_Shrug:794710192150937601>","",""
"2022-11-06,14:59:57","CyanideCarrot","#3879","no they didnt, it hasn't even been approved by the house or president yet","DMWL#6271",""
"2022-11-06,15:01:59","DMWL","#6271","That... wasnt supposed to be a statement but I can see why it did","",""
"2022-11-06,15:25:56","Lyssa","#7932","workday is shit and you can’t change my mind","LJ#9206",""
"2022-11-06,15:26:10","LJ","#9206","ok","",""
"2022-11-06,15:26:11","LJ","#9206","lol","",""
"2022-11-06,15:26:28","Bassettt","#5590","I hate workday","",""
"2022-11-06,15:26:38","Bassettt","#5590","Makes you sign in every time you use it","",""
"2022-11-06,15:26:45","Bassettt","#5590","I don’t want to sign in when checking out lmao","",""
"2022-11-06,15:26:56","Lyssa","#7932","not only that, but it’s just a crap system in general","",""
"2022-11-06,23:55:18","LJ","#9206","just finished my speech for my com class","",""
"2022-11-06,23:55:22","LJ","#9206","it's kind of shit but whatever","",""
"2022-11-06,23:55:33","LJ","#9206","13 secs short of the required time and i don't have time to retake","",""
"2022-11-06,23:55:41","LJ","#9206","it's probably passing but not an A","",""
"2022-11-07,09:03:29","Kantaria","#3272","Ok this is kinda a dumb question but a 300 class where the prerequisites were 100 lvl classes are probably slighly easier then the 300 lvl classes with 300 level prerequisites?","",""
"2022-11-07,09:55:11","Endeavour-1","#4390","Hey economic/business/FIRE majors, if there are 2 highly inflationary currencies, is that possible to arbitrage them, and if so, how to do it?","",""
"2022-11-07,10:05:34","Lewa","#5102","Yes you can, you need at least 3 bank accounts, two in a foreign country or just accounts with different currency exchange brokers. to do so but it’s possible. Basically you send money from bank 1 (us) to bank (2) in Europe looking for a favorable rate from US dollar to local currency. Then you transfer from 2 to 3 with a 1:1 transfer rate. Then from bank 3 back to bank 1, assuming that the currency conversion you get is better than what you paid for in bank 1","",""
"2022-11-07,10:06:33","Lewa","#5102","So if you transferred 100 to bank 2 and got 100 euro, then hoping that bank 3 will pay you 101 dollars or more when transferring back","",""
"2022-11-07,10:09:35","Lewa","#5102","Triangular arbitrage is what your looking for","",""
"2022-11-07,10:11:40","Poedameron805","#0114","Wait so free money?","Lewa#5102",""
"2022-11-07,10:11:51","Lewa","#5102","In theory yes","",""
"2022-11-07,10:12:01","Lewa","#5102","But you have to have huge sums","",""
"2022-11-07,10:12:10","Lewa","#5102","Because your talking about fraction of dollars","",""
"2022-11-07,10:12:25","Lewa","#5102","Like a 1000$ on a 1 million dollar transfer","",""
"2022-11-07,10:12:54","Poedameron805","#0114","oh","",""
"2022-11-07,10:13:14","Lewa","#5102","The idea is to transfer between few currencies that don’t line up together and give a positive cash flow in the end","",""
"2022-11-07,10:17:42","Endeavour-1","#4390","Favorable rate. Let’s say I define 1:1 trading pair with inflationary currencies. How do I know what is favorable rate? Let’s say 1:1 currencies are a:b. Let’s say you can buy more b than a, so you sell b to buy a, and then just wait for the moment where you can buy more of the currency “b” with the same amount of currency “a”?","Lewa#5102",""
"2022-11-07,10:18:07","Endeavour-1","#4390","I assume I’ll need 3rd currency for triangular arbitrage","",""
"2022-11-07,10:19:18","Endeavour-1","#4390","Also at what % would it be favorable to do the transactions? 1%? 10%? I’m not a financial related major so might make errors","",""
"2022-11-07,10:19:24","Lewa","#5102","Yes sorry you need a 3rd currency. The thing is that the opportunities for those kind of trades are few and they close fast","",""
"2022-11-07,10:19:31","Lewa","#5102","They are very risky","",""
"2022-11-07,10:20:24","Lewa","#5102","Basically you have to look at the whole chain, if I transfer 100 what do I get at a, b and then finally at c. You also have to think about transaction fees","",""
"2022-11-07,10:21:06","Endeavour-1","#4390","I’m keeping that in mind also. That’s why I’m thinking what percentage of profit would be optimal.","Lewa#5102",""
"2022-11-07,10:25:56","Kantaria","#3272","anyone taking mbios 303 with martina!","",""
"2022-11-07,10:25:57","Lewa","#5102","On a good day I think you can make like a .1 a .01 % profit, transfer fees are normally like 1 to 5 % unless you are transferring like 10-100k on the low end at the time","",""
